class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,538.0
radius,33881.32579929858
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.011805913451246377
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.5
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
1              ,617583         ,1              ,10             ,0              ,0              ,0.1000    ,0.0909    
2              ,617583         ,1              ,10             ,0              ,0              ,0.1000    ,0.0909    
3              ,617583         ,1              ,10             ,0              ,0              ,0.1000    ,0.0909    
4              ,617580         ,4              ,10             ,0              ,0              ,0.4000    ,0.2857    
5              ,617577         ,7              ,10             ,0              ,0              ,0.7000    ,0.3529    
6              ,617576         ,8              ,10             ,0              ,0              ,0.8000    ,0.3889    
7              ,617576         ,8              ,10             ,0              ,0              ,0.8000    ,0.3889    
8              ,617574         ,10             ,10             ,0              ,0              ,1.0000    ,0.3500    
9              ,617571         ,13             ,10             ,0              ,0              ,1.3000    ,0.3478    
10             ,617571         ,13             ,10             ,0              ,0              ,1.3000    ,0.3478    
11             ,617569         ,15             ,10             ,0              ,0              ,1.5000    ,0.3200    
12             ,617566         ,18             ,10             ,0              ,0              ,1.8000    ,0.2857    
13             ,617566         ,18             ,10             ,0              ,0              ,1.8000    ,0.2857    
14             ,617564         ,20             ,10             ,0              ,0              ,2.0000    ,0.2667    
15             ,617564         ,19             ,11             ,0              ,0              ,1.7273    ,0.2667    
16             ,617564         ,19             ,11             ,0              ,0              ,1.7273    ,0.2667    
17             ,617563         ,20             ,11             ,0              ,0              ,1.8182    ,0.2581    
18             ,617561         ,19             ,14             ,0              ,0              ,1.3571    ,0.2424    
19             ,617560         ,17             ,17             ,0              ,0              ,1.0000    ,0.2353    
20             ,617559         ,17             ,18             ,0              ,0              ,0.9444    ,0.2571    
21             ,617556         ,20             ,18             ,0              ,0              ,1.1111    ,0.2632    
22             ,617555         ,19             ,20             ,0              ,0              ,0.9500    ,0.2564    
23             ,617554         ,17             ,23             ,0              ,0              ,0.7391    ,0.2750    
24             ,617551         ,20             ,23             ,0              ,0              ,0.8696    ,0.2791    
25             ,617547         ,22             ,25             ,0              ,0              ,0.8800    ,0.2979    
26             ,617545         ,21             ,28             ,0              ,0              ,0.7500    ,0.3061    
27             ,617542         ,24             ,28             ,0              ,0              ,0.8571    ,0.3269    
28             ,617539         ,25             ,30             ,0              ,0              ,0.8333    ,0.3273    
29             ,617536         ,28             ,30             ,0              ,0              ,0.9333    ,0.3103    
30             ,617532         ,32             ,30             ,0              ,0              ,1.0667    ,0.3065    
31             ,617526         ,37             ,31             ,0              ,0              ,1.1935    ,0.2941    
32             ,617522         ,39             ,33             ,0              ,0              ,1.1818    ,0.2917    
33             ,617519         ,41             ,34             ,0              ,0              ,1.2059    ,0.2933    
34             ,617516         ,43             ,35             ,0              ,0              ,1.2286    ,0.2821    
35             ,617510         ,46             ,27             ,11             ,0              ,1.7037    ,0.3014    
36             ,617507         ,48             ,28             ,11             ,0              ,1.7143    ,0.3026    
37             ,617503         ,51             ,29             ,11             ,0              ,1.7586    ,0.2875    
38             ,617500         ,51             ,29             ,14             ,0              ,1.7586    ,0.2875    
39             ,617498         ,49             ,30             ,17             ,0              ,1.6333    ,0.3038    
40             ,617493         ,52             ,31             ,18             ,0              ,1.6774    ,0.3373    
41             ,617486         ,56             ,34             ,18             ,0              ,1.6471    ,0.3556    
42             ,617481         ,58             ,35             ,20             ,0              ,1.6571    ,0.3441    
43             ,617477         ,59             ,35             ,23             ,0              ,1.6857    ,0.3617    
44             ,617474         ,58             ,39             ,23             ,0              ,1.4872    ,0.3505    
45             ,617470         ,56             ,43             ,25             ,0              ,1.3023    ,0.3737    
46             ,617466         ,56             ,44             ,28             ,0              ,1.2727    ,0.3900    
47             ,617461         ,58             ,47             ,28             ,0              ,1.2340    ,0.4000    
48             ,617455         ,61             ,48             ,30             ,0              ,1.2708    ,0.4128    
49             ,617446         ,64             ,54             ,30             ,0              ,1.1852    ,0.4237    
50             ,617441         ,66             ,57             ,30             ,0              ,1.1579    ,0.4309    
51             ,617440         ,63             ,60             ,31             ,0              ,1.0500    ,0.4390    
52             ,617436         ,64             ,61             ,33             ,0              ,1.0492    ,0.4400    
53             ,617430         ,68             ,62             ,34             ,0              ,1.0968    ,0.4462    
54             ,617422         ,71             ,66             ,35             ,0              ,1.0758    ,0.4380    
55             ,617413         ,73             ,70             ,38             ,0              ,1.0429    ,0.4196    
56             ,617407         ,74             ,74             ,39             ,0              ,1.0000    ,0.4257    
57             ,617400         ,77             ,77             ,40             ,0              ,1.0000    ,0.4221    
58             ,617397         ,77             ,77             ,43             ,0              ,1.0000    ,0.4351    
59             ,617392         ,78             ,77             ,47             ,0              ,1.0130    ,0.4387    
